Time	ECG	Heart Rate
201.48	-0.0705449	85.7143
201.485	-0.070786	85.7143
201.49	-0.0711027	85.7143
201.495	-0.0691063	85.7143
201.5	-0.0648927	85.7143
201.505	-0.062103	85.7143
201.51	-0.0611756	85.7143
201.515	-0.0606155	85.7143
201.52	-0.0616412	85.7143
201.525	-0.0640659	85.7143
201.53	-0.0657802	85.7143
201.535	-0.0674342	85.7143
201.54	-0.0698275	85.7143
201.545	-0.0709149	85.7143
201.55	-0.0704089	85.7143
201.555	-0.0698361	85.7143
201.56	-0.0680645	85.7143
201.565	-0.0648563	85.7143
201.57	-0.0639018	85.7143
201.575	-0.0664965	85.7143
201.58	-0.0704891	85.7143
201.585	-0.0760532	85.7143
201.59	-0.0835783	85.7143
201.595	-0.0897225	85.7143
201.6	-0.0927096	85.7143
201.605	-0.0939373	85.7143
201.61	-0.0929824	85.7143
201.615	-0.0903956	85.7143
201.62	-0.090529	85.7143
201.625	-0.0944007	85.7143
201.63	-0.0984297	85.7143
201.635	-0.101492	85.7143
201.64	-0.103615	85.7143
201.645	-0.102683	85.7143
201.65	-0.0997897	85.7143
201.655	-0.0985399	85.7143
201.66	-0.097979	85.7143
201.665	-0.0947387	85.7143
201.67	-0.0884365	85.7143
201.675	-0.0786523	85.7143
201.68	-0.0637388	85.7143
201.685	-0.0441479	85.7143
201.69	-0.0205678	85.7143
201.695	0.00692259	85.7143
201.7	0.0341361	85.7143
201.705	0.053616	85.7143
201.71	0.0610794	85.7143
201.715	0.0562628	85.7143
201.72	0.0395112	85.7143
201.725	0.0143958	85.7143
201.73	-0.0121365	85.7143
201.735	-0.0374128	85.7143
201.74	-0.0623009	85.7143
201.745	-0.0845488	85.7143
201.75	-0.101983	85.7143
201.755	-0.115773	85.7143
201.76	-0.124951	85.7143
201.765	-0.127527	85.7143
201.77	-0.126981	85.7143
201.775	-0.127269	85.7143
201.78	-0.127795	85.7143
201.785	-0.128461	85.7143
201.79	-0.131466	85.7143
201.795	-0.138406	85.7143
201.8	-0.14836	85.7143
201.805	-0.153399	85.7143
201.81	-0.130592	85.7143
201.815	-0.0486265	85.7143
201.82	0.113681	85.7143
201.825	0.355621	85.7143
201.83	0.63239	85.7143
201.835	0.860014	85.7143
201.84	0.970457	79.4702
201.845	0.948963	79.4702
201.85	0.824369	79.4702
201.855	0.643913	79.4702
201.86	0.454403	79.4702
201.865	0.288195	79.4702
201.87	0.157631	79.4702
